Goal Type,Activity Type,Goal,Start Date,End Date,Segment ID,Time Period,Interval Time
Distance Goal,All Run,56327.04,"Dec 29, 2024, 5:08:00 PM","Dec 29, 2024, 5:08:28 PM",,Week
Distance Goal,All Run,64373.76,"Dec 29, 2024, 5:08:28 PM",,,Week
