Reaction Date,Reaction Type,Parent Type,Parent ID
"Nov 14, 2023, 7:09:23 PM",Kudos,Activity,10216553007
"Nov 14, 2023, 7:09:26 PM",Kudos,Activity,10217459068
"Nov 14, 2023, 7:09:28 PM",Kudos,Activity,10214694806
"Nov 15, 2023, 2:21:39 PM",Kudos,Activity,10222667169
"Nov 16, 2023, 10:23:06 PM",Kudos,Activity,10230259990
"Nov 18, 2023, 4:01:28 PM",Kudos,Activity,10240218974
"Nov 19, 2023, 4:11:33 PM",Kudos,Activity,10246541366
"Dec 1, 2023, 11:38:01 PM",Kudos,Activity,10308489303
"Dec 3, 2023, 2:40:50 AM",Kudos,Activity,10318540056
"Dec 4, 2023, 6:29:12 PM",Kudos,Activity,10327210078
"Dec 5, 2023, 7:16:28 PM",Kudos,Activity,10332927794
"Dec 20, 2023, 8:22:43 PM",Kudos,Activity,10407007173
"Dec 23, 2023, 3:45:36 PM",Kudos,Activity,10424801416
"Dec 23, 2023, 5:52:18 PM",Kudos,Activity,10419586433
"Dec 25, 2023, 3:51:11 PM",Kudos,Activity,10430030477
"Dec 26, 2023, 10:40:46 AM",Kudos,Activity,10436216212
"Dec 29, 2023, 3:44:37 PM",Kudos,Activity,10455156639
"Dec 29, 2023, 3:44:39 PM",Kudos,Activity,10453767543
"Dec 31, 2023, 7:47:59 PM",Kudos,Activity,10468049396
"Jan 5, 2024, 7:40:06 PM",Kudos,Activity,10499313661
"Jan 5, 2024, 7:40:07 PM",Kudos,Activity,10499311627
"Jan 6, 2024, 7:06:09 PM",Kudos,Activity,10499229897
"Jan 6, 2024, 7:06:13 PM",Kudos,Activity,10499230564
"Jan 6, 2024, 7:06:19 PM",Kudos,Activity,10496391682
"Jan 6, 2024, 7:06:23 PM",Kudos,Activity,10496391659
"Jan 7, 2024, 2:22:03 PM",Kudos,Activity,10508149274
"Jan 8, 2024, 12:41:04 AM",Kudos,Activity,10512570507
"Jan 9, 2024, 8:12:16 PM",Kudos,Activity,10524162788
"Jan 13, 2024, 6:35:24 PM",Kudos,Activity,10541480399
"Jan 15, 2024, 3:50:48 PM",Kudos,Activity,10562905331
"Jan 18, 2024, 2:40:09 PM",Kudos,Activity,10575936464
"Jan 18, 2024, 3:54:51 PM",Kudos,Activity,10581282760
"Jan 18, 2024, 5:04:34 PM",Kudos,Activity,10582900649
"Jan 20, 2024, 4:11:46 PM",Kudos,Activity,10595533292
"Jan 20, 2024, 4:11:50 PM",Kudos,Activity,10595569137
"Jan 20, 2024, 4:11:52 PM",Kudos,Activity,10595413212
"Jan 20, 2024, 4:11:52 PM",Kudos,Activity,10595541324
"Jan 20, 2024, 4:11:56 PM",Kudos,Activity,10595311146
"Jan 20, 2024, 5:28:34 PM",Kudos,Activity,10595645766
"Jan 20, 2024, 5:28:39 PM",Kudos,Activity,10595662267
"Jan 20, 2024, 5:28:46 PM",Kudos,Activity,10595660290
"Jan 20, 2024, 5:28:51 PM",Kudos,Activity,10595651168
"Jan 20, 2024, 5:29:45 PM",Kudos,Activity,10595797800
"Jan 20, 2024, 6:12:28 PM",Kudos,Activity,10595753263
"Jan 20, 2024, 8:58:53 PM",Kudos,Activity,10595286384
"Jan 21, 2024, 9:48:45 PM",Kudos,Activity,10603206148
"Jan 21, 2024, 9:48:46 PM",Kudos,Activity,10602628366
"Jan 22, 2024, 10:59:19 PM",Kudos,Activity,10603546698
"Jan 22, 2024, 10:59:20 PM",Kudos,Activity,10607394003
"Jan 23, 2024, 4:47:21 PM",Kudos,Activity,10613734427
"Jan 23, 2024, 11:21:14 PM",Kudos,Activity,10598278457
"Jan 23, 2024, 11:21:19 PM",Kudos,Activity,10586175510
"Jan 23, 2024, 11:21:21 PM",Kudos,Activity,10561466988
"Jan 25, 2024, 2:47:59 PM",Kudos,Activity,10626494661
"Jan 25, 2024, 5:46:54 PM",Kudos,Activity,10626946571
"Jan 26, 2024, 1:22:01 AM",Kudos,Activity,10628750324
"Jan 26, 2024, 1:22:02 AM",Kudos,Activity,10628752147
"Jan 27, 2024, 1:26:13 PM",Kudos,Activity,10636779128
"Jan 27, 2024, 4:59:53 PM",Kudos,Activity,10641013500
"Jan 27, 2024, 4:59:58 PM",Kudos,Activity,10640839444
"Jan 27, 2024, 5:00:00 PM",Kudos,Activity,10640932063
"Jan 27, 2024, 5:00:01 PM",Kudos,Activity,10640978885
"Jan 27, 2024, 5:00:02 PM",Kudos,Activity,10640888778
"Jan 27, 2024, 5:00:08 PM",Kudos,Activity,10640848961
"Jan 27, 2024, 5:00:09 PM",Kudos,Activity,10641151616
"Jan 27, 2024, 5:00:13 PM",Kudos,Activity,10640865501
"Jan 27, 2024, 5:00:16 PM",Kudos,Activity,10641074727
"Jan 27, 2024, 5:00:17 PM",Kudos,Activity,10641020951
"Jan 27, 2024, 5:00:18 PM",Kudos,Activity,10641219988
"Jan 27, 2024, 5:00:25 PM",Kudos,Activity,10641171956
"Jan 27, 2024, 7:24:06 PM",Kudos,Activity,10641957918
"Jan 29, 2024, 3:44:09 PM",Kudos,Activity,10652980346
"Jan 29, 2024, 3:44:11 PM",Kudos,Activity,10652006402
"Jan 29, 2024, 3:44:14 PM",Kudos,Activity,10653212965
"Jan 29, 2024, 3:44:21 PM",Kudos,Activity,10651511758
"Jan 29, 2024, 3:44:27 PM",Kudos,Activity,10653328447
"Jan 29, 2024, 3:44:29 PM",Kudos,Activity,10652554494
"Jan 29, 2024, 3:44:31 PM",Kudos,Activity,10653719296
"Jan 29, 2024, 3:44:35 PM",Kudos,Activity,10653716063
"Jan 29, 2024, 3:44:37 PM",Kudos,Activity,10653082983
"Jan 30, 2024, 1:08:16 PM",Kudos,Activity,10657795239
"Jan 30, 2024, 3:26:30 PM",Kudos,Activity,10660726211
"Jan 30, 2024, 3:26:33 PM",Kudos,Activity,10660347362
"Feb 1, 2024, 3:07:36 PM",Kudos,Activity,10671202247
"Feb 1, 2024, 3:07:45 PM",Kudos,Activity,10670620779
"Feb 1, 2024, 3:07:51 PM",Kudos,Activity,10671429563
"Feb 1, 2024, 3:07:59 PM",Kudos,Activity,10670731963
"Feb 1, 2024, 3:08:03 PM",Kudos,Activity,10671298965
"Feb 1, 2024, 3:08:07 PM",Kudos,Activity,10673889950
"Feb 1, 2024, 3:08:09 PM",Kudos,Activity,10674145694
"Feb 1, 2024, 3:08:11 PM",Kudos,Activity,10671410528
"Feb 1, 2024, 3:08:13 PM",Kudos,Activity,10667415009
"Feb 1, 2024, 3:08:15 PM",Kudos,Activity,10670977747
"Feb 1, 2024, 3:08:21 PM",Kudos,Activity,10673888456
"Feb 1, 2024, 3:08:26 PM",Kudos,Activity,10671437458
"Feb 1, 2024, 3:08:30 PM",Kudos,Activity,10667746975
"Feb 1, 2024, 3:08:37 PM",Kudos,Activity,10674547450
"Feb 1, 2024, 3:08:46 PM",Kudos,Activity,10667695854
"Feb 1, 2024, 5:28:22 PM",Kudos,Activity,10674741162
"Feb 3, 2024, 1:17:50 AM",Kudos,Activity,10683897116
"Feb 3, 2024, 1:17:52 AM",Kudos,Activity,10683906021
"Feb 3, 2024, 12:37:09 PM",Kudos,Activity,10684397717
"Feb 3, 2024, 4:06:28 PM",Kudos,Activity,10688530198
"Feb 3, 2024, 4:06:29 PM",Kudos,Activity,10688527564
"Feb 3, 2024, 4:06:31 PM",Kudos,Activity,10688555452
"Feb 3, 2024, 4:22:19 PM",Kudos,Activity,10688633500
"Feb 3, 2024, 4:22:21 PM",Kudos,Activity,10688656552
"Feb 3, 2024, 4:50:48 PM",Kudos,Activity,10688775017
"Feb 3, 2024, 5:25:43 PM",Kudos,Activity,10688648778
"Feb 3, 2024, 5:25:45 PM",Kudos,Activity,10688777941
"Feb 3, 2024, 5:33:01 PM",Kudos,Activity,10689185616
"Feb 4, 2024, 12:39:46 PM",Kudos,Activity,10691408463
"Feb 4, 2024, 12:40:01 PM",Kudos,Activity,10691396097
"Feb 4, 2024, 6:52:18 PM",Kudos,Activity,10696611051
"Feb 4, 2024, 9:29:48 PM",Kudos,Activity,10697323415
"Feb 5, 2024, 3:22:39 PM",Kudos,Activity,10701107279
"Feb 5, 2024, 3:22:48 PM",Kudos,Activity,10700663924
"Feb 5, 2024, 3:22:53 PM",Kudos,Activity,10698114030
"Feb 5, 2024, 7:23:46 PM",Kudos,Activity,10702846878
"Feb 6, 2024, 3:04:21 PM",Kudos,Activity,10704678635
"Feb 6, 2024, 3:04:23 PM",Kudos,Activity,10707686064
"Feb 6, 2024, 3:04:28 PM",Kudos,Activity,10707545168
"Feb 6, 2024, 3:04:30 PM",Kudos,Activity,10705543397
"Feb 6, 2024, 3:04:32 PM",Kudos,Activity,10707879926
"Feb 6, 2024, 3:47:09 PM",Kudos,Activity,10708327906
"Feb 6, 2024, 11:02:21 PM",Kudos,Activity,10710806952
"Feb 7, 2024, 2:40:07 AM",Kudos,Activity,10711288453
"Feb 7, 2024, 2:40:14 AM",Kudos,Activity,10711253141
"Feb 7, 2024, 2:40:20 AM",Kudos,Activity,10711287830
"Feb 7, 2024, 2:40:27 AM",Kudos,Activity,10711953665
"Feb 7, 2024, 2:03:29 PM",Kudos,Activity,10712671356
"Feb 7, 2024, 11:01:59 PM",Kudos,Activity,10714409736
"Feb 8, 2024, 2:18:04 AM",Kudos,Activity,10718280280
"Feb 8, 2024, 12:44:25 PM",Kudos,Activity,10720562864
"Feb 8, 2024, 3:53:35 PM",Kudos,Activity,10721280184
"Feb 8, 2024, 3:53:42 PM",Kudos,Activity,10721299531
"Feb 8, 2024, 6:32:10 PM",Kudos,Activity,10722670111
"Feb 8, 2024, 6:33:10 PM",Kudos,Activity,10720910114
"Feb 9, 2024, 1:35:10 AM",Kudos,Activity,10724634487
"Feb 9, 2024, 2:06:21 AM",Kudos,Activity,10724914342
"Feb 9, 2024, 2:07:50 AM",Kudos,Activity,10724827066
"Feb 9, 2024, 2:06:16 PM",Kudos,Activity,10727200754
"Feb 9, 2024, 4:16:37 PM",Kudos,Activity,10727862936
"Feb 10, 2024, 4:29:29 PM",Kudos,Activity,10734937988
"Feb 10, 2024, 4:29:30 PM",Kudos,Activity,10734957010
"Feb 10, 2024, 4:29:33 PM",Kudos,Activity,10734956072
"Feb 10, 2024, 4:29:36 PM",Kudos,Activity,10734922237
"Feb 10, 2024, 4:29:39 PM",Kudos,Activity,10734651929
"Feb 10, 2024, 4:44:48 PM",Kudos,Activity,10735061916
"Feb 10, 2024, 4:44:58 PM",Kudos,Activity,10735071836
"Feb 10, 2024, 6:09:04 PM",Kudos,Activity,10735621177
"Feb 10, 2024, 6:29:27 PM",Kudos,Activity,10734952846
"Feb 10, 2024, 8:46:51 PM",Kudos,Activity,10736333258
